answerKey,question,choices
D,George wanted to go home.  He was sick and tired of his what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outside', 'charming', 'city or town', 'vacation', 'apartment'],
      dtype=object)}"
A,What would you be doing if you are having lunch?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eating', 'hunger', 'burp', 'laughing', 'food'], dtype=object)}"
D,Where does a plane go when it has reached its destination?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['air', 'eat', 'sky', 'runway', 'fall'], dtype=object)}"
A,Where are you likely to to find a marmot other than the zoo?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wilderness', 'south america', 'jungle', 'in its den.',
       'new zealand'], dtype=object)}"
B,What would be a cheap way for a medieval family to satisfy their hunger?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go to the store', 'make bread', 'bring home fish', 'go to market',
       'eat hamburger'], dtype=object)}"
A,What is the difference between one having solidity?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['openness', 'fluidity', 'hollowness', 'weakness', 'instability'],
      dtype=object)}"
C,Where do you originally get kleenex from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wipe nose', 'blow nose', 'box', 'purse', 'pocket'], dtype=object)}"
C,Bill loved riding his bike and did it all the time.  He had trouble going up hills and sometimes pushed himself to the point of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'give up', 'exhaustion', 'travelling',
       'going somewhere'], dtype=object)}"
D,"When you play chess and work hard to improve at it, and finally have it pay off you will feel what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['smart', 'have fun', 'made', 'satisfaction', 'superior'],
      dtype=object)}"
D,There are usually four strings on what popular instrument?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['trumpet', 'kite', 'quark', 'guitar', ""bird's nest""], dtype=object)}"
D,Your oven is most likely found where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restaurant', 'prison', 'school', 'own home', 'pizza place'],
      dtype=object)}"
C,What is someone likely to feel after killing someone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horrible', 'funeral', 'remorse', 'going to jail', 'scared'],
      dtype=object)}"
D,When competing against a fighter with better training you'll likely get a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pride', 'free hat', 'emotions', 'injury', 'one winner'],
      dtype=object)}"
D,What does hurting someone else cause?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punishment', 'anger', 'arrested', 'suffering', 'hatred'],
      dtype=object)}"
B,If you're standing in front of people holding index cards what are you likely doing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learning', 'oral report', 'office supply store', 'card catalogue',
       'library'], dtype=object)}"
E,A bugle sounded every morning where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'army corps', 'army', 'military band',
       'military base'], dtype=object)}"
A,Where can someone level up?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['video game', 'garage', 'food court', ""carpenter's shop"",
       'building'], dtype=object)}"
E,Where can birds clean themselves?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outside', 'nest', 'birdhouse', 'roof', 'water fountain'],
      dtype=object)}"
C,"In the video game he used the rocket launcher at long range, but up close he would switch to the rapid fire what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pistol', 'assault rifle', 'submachine gun', 'grenade launcher',
       'shotgun'], dtype=object)}"
D,If you've already received your drinks what is a waiter likely going to do next?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['set table', 'present bill', 'wears black', 'serve food', 'talk'],
      dtype=object)}"
E,"Rather than appreciating the rolling hills, what seemed plain to the angst filled teenager?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mid west', 'georgia', 'landscape', 'the south', 'countryside'],
      dtype=object)}"
E,"I was creating art while angry, what did my painting convey inadvertently?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['work of art', 'feeling of accomplishment', 'making love',
       'pleasure', 'strong emotion'], dtype=object)}"
A,Who takes forever to pass a bill?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['congress', 'wallet', 'restaurant', 'mail box', 'presidents'],
      dtype=object)}"
D,Where would you not be able to see light?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desk', 'fridge', 'sun', 'attic', 'universe'], dtype=object)}"
A,"As in part of string theory, what particle makes up hadrons?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['quark', 'guitar', ""bird's nest"", 'kite', 'beads'], dtype=object)}"
E,How can a company efficiently sell things to their customer?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sell', 'branch out', 'own factory', 'ship goods', 'mail order'],
      dtype=object)}"
